id;x;y;soc
1;752097.9329;6894873.874;4.81
2;755401.1721;6895001.936;2.44
3;753289.1822;6895918.553;2.62
4;752562.5897;6895116.664;2.18
5;754151.5031;6895117.16;3.89
6;754387.4606;6894929.029;3.45
7;754986.4442;6895110.045;2.52
8;756050.9813;6895888.719;2.23
9;754847.7215;6895353.804;2.34
10;752244.0335;6895043.12;2.58
11;755493.9381;6895537.87;2.48
12;753180.4857;6895466.499;2.70
13;753933.9381;6895567.87;3.30
14;752843.867;6895573.142;3.17
15;752554.1981;6895425.861;2.48
16;753539.1859;6895405.932;2.04
17;753761.2431;6895648.012;4.91
18;752943.9381;6895777.87;3.36
19;754458.5482;6895748.863;2.69
20;755520.8653;6895903.662;2.47
21;752539.328;6895827.752;1.08
22;754138.6192;6895919.785;3.87
23;753902.4251;6895895.057;2.65
24;754523.3004;6896009.525;2.47
25;756097.9572;6896178.721;2.54
26;752815.38;6896089.194;2.26
27;754978.1461;6896125.506;4.78
28;754289.1859;6895882.906;2.71
29;754383.9381;6896257.87;2.32
30;753785.1911;6896125.719;3.16
31;752892.4962;6896405.364;2.38
32;753607.4373;6896097.965;3.64
33;753208.032;6896262.622;2.90
34;755224.1981;6896435.104;3.46
35;754203.9381;6896467.87;2.65
36;754863.9381;6896497.87;2.73
37;755976.1842;6896618.91;2.85
38;754641.5742;6896646.097;2.49
39;754356.2777;6896857.397;3.89
40;756126.0907;6896695.246;2.59
41;755627.5551;6896765.341;3.23
42;756411.7406;6896694.986;2.35
43;753222.8029;6896896.948;2.55
44;755125.9;6895898.369;3.59
45;753002.6851;6896983.922;3.14
46;754293.9381;6897037.87;3.47
47;754863.9381;6897037.87;2.70
48;753633.9381;6897067.87;2.05
49;755372.9216;6897060.802;3.20
50;754564.1513;6896908.225;6.26
51;754051.1253;6897340.896;4.70
52;754438.6192;6897500.967;2.40
